,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,01-Apr-20,02-Apr-20,03-Apr-20,04-Apr-20,05-Apr-20,06-Apr-20,07-Apr-20,08-Apr-20,09-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,19-Apr-20,20-Apr-20,21-Apr-20,22-Apr-20,23-Apr-20,24-Apr-20,25-Apr-20,26-Apr-20,27-Apr-20,28-Apr-20,29-Apr-20,30-Apr-20,01-May-20,02-May-20,03-May-20,04-May-20,05-May-20,06-May-20,07-May-20
Total,81.0,108.0,123.0,134.0,171.0,198.0,256.0,334.0,401.0,503.0,567.0,657.0,722.0,886.0,1029.0,1139.0,1326.0,1635.0,2059.0,2545.0,3105.0,3684.0,4293.0,4777.0,5349.0,5914.0,6727.0,7598.0,8452.0,9210.0,10453.0,11484.0,12370.0,13431.0,14353.0,15724.0,17304.0,18543.0,20080.0,21372.0,23039.0,24447.0,26282.0,27889.0,29457.0,31359.0,33064.0,34865.0,37261.0,39825.0,42777.0,46433.0,49404.0,53006.0,56350.0
Andaman and Nicobar Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,22.0,29.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
Andhra Pradesh,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,6.0,7.0,8.0,10.0,11.0,13.0,19.0,21.0,23.0,44.0,111.0,149.0,164.0,192.0,256.0,303.0,314.0,348.0,363.0,381.0,405.0,420.0,439.0,484.0,525.0,534.0,572.0,603.0,647.0,722.0,757.0,813.0,893.0,955.0,1016.0,1097.0,1177.0,1259.0,1332.0,1403.0,1463.0,1525.0,1583.0,1650.0,1717.0,1777.0,1833.0
Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Assam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,23.0,26.0,26.0,26.0,28.0,28.0,29.0,29.0,29.0,30.0,32.0,33.0,33.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,38.0,38.0,43.0,43.0,43.0,43.0,43.0,45.0,46.0,54.0
Bihar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,7.0,9.0,11.0,15.0,15.0,21.0,24.0,29.0,31.0,32.0,32.0,32.0,38.0,39.0,58.0,60.0,64.0,64.0,66.0,66.0,72.0,83.0,85.0,86.0,96.0,113.0,126.0,143.0,170.0,223.0,251.0,277.0,346.0,366.0,403.0,425.0,466.0,481.0,517.0,528.0,535.0,542.0,550.0
Chandigarh,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,13.0,15.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,23.0,26.0,26.0,27.0,27.0,27.0,27.0,28.0,36.0,45.0,56.0,68.0,74.0,88.0,94.0,97.0,102.0,119.0,124.0,135.0
Chhattisgarh,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,18.0,18.0,25.0,31.0,31.0,33.0,33.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,37.0,38.0,38.0,40.0,43.0,43.0,57.0,58.0,59.0,59.0,59.0
Dadra and Nagar Haveli and Daman and Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Daman and Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
